"","Scleractinian","Gorgonia","Black_coral","Hydroids","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others","CCA"
"40_TUARAN2_27",1.33,0,0,0,0,1.33,26.67,0,0,0,1.33
"40_TUARAN2_28",1.33,0,0,0,0,1.33,10.67,0,0,0,5.33
"40_TUARAN2_29",10.65,0,0,0,0,0,24,0,0,0,9.33
"40_TUARAN2_30",48,0,0,0,0,6.67,37.33,0,0,0,4
"40_TUARAR1_1",93.33,0,0,0,0,0,0,0,0,0,0
"40_TUARAR1_2",68,0,0,0,0,12,0,0,0,0,1.33
"40_TUARAR1_3",76,0,0,0,0,4,1.33,0,0,0,2.66
"40_TUARAR1_4",98.67,0,0,0,0,0,0,0,0,0,0
"40_TUARAR1_5",100,0,0,0,0,0,0,0,0,0,0
"40_TUARAR1_6",89.33,0,0,0,0,5.33,0,0,0,0,0
"40_TUARAR1_7",61.33,0,0,0,0,6.66,0,0,0,0,10.67
"40_TUARAR1_8",94.67,0,0,0,0,2.67,0,0,0,0,0
"40_TUARAR1_9",100,0,0,0,0,0,0,0,0,0,0
"40_TUARAR1_10",98.66,0,0,0,0,1.33,0,0,0,0,0
"40_TUARAR1_11",76.01,0,0,0,0,1.33,4,0,0,1.33,4
"40_TUARAR1_12",89.33,0,0,0,0,9.33,0,0,0,0,1.33
"40_TUARAR1_13",42.65,0,0,0,0,10.66,22.67,0,0,0,2.67
"40_TUARAR1_14",16,0,0,0,0,4,34.67,0,0,0,6.67
"40_TUARAR1_15",27.99,0,0,0,0,20,6.67,0,0,0,12
"40_TUARAR1_16",77.33,0,0,0,0,21.34,0,0,0,0,0
"40_TUARAR1_17",80,0,0,0,0,5.34,0,0,0,0,9.33
"40_TUARAR1_18",89.33,0,0,0,0,0,1.33,0,0,0,1.33
"40_TUARAR1_19",100,0,0,0,0,0,0,0,0,0,0
"40_TUARAR1_20",77.33,0,0,0,0,6.67,0,0,0,0,2.67
"40_TUARAR1_21",90.67,0,0,0,0,0,0,0,0,0,1.33
"40_TUARAR1_22",96,0,0,0,0,2.67,0,0,0,0,0
"40_TUARAR1_23",81.33,0,0,0,0,0,0,0,0,0,1.33
"40_TUARAR1_24",70.67,0,0,0,0,1.33,24,0,0,0,0
