"","Island_Island_Site","Depth","Quadrat","Cover","Latitude","Longitude","Fixed.substrate","Sediment.substrate","Rubble","ID","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015"
"810","Makatea_1","40",9,45.33,-15.8259,-148.2797,16,0,0,"40_TUAMAK1_9",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"811","Makatea_1","6",1,65.33,-15.8259,-148.2797,48,20,0,"6_TUAMAK1_1",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"812","Makatea_1","6",10,67.99,-15.8259,-148.2797,53.33,1.33,0,"6_TUAMAK1_10",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"813","Makatea_1","6",11,42.66,-15.8259,-148.2797,46.67,12,0,"6_TUAMAK1_11",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"814","Makatea_1","6",12,78.66,-15.8259,-148.2797,29.33,13.33,0,"6_TUAMAK1_12",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"815","Makatea_1","6",13,42.66,-15.8259,-148.2797,17.33,13.33,1.33,"6_TUAMAK1_13",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"816","Makatea_1","6",14,48,-15.8259,-148.2797,31.99,34.67,5.33,"6_TUAMAK1_14",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"817","Makatea_1","6",15,78.67,-15.8259,-148.2797,29.33,33.33,1.33,"6_TUAMAK1_15",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"818","Makatea_1","6",16,56,-15.8259,-148.2797,25.33,49.33,4,"6_TUAMAK1_16",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"819","Makatea_1","6",17,69.33,-15.8259,-148.2797,58.67,25.33,1.33,"6_TUAMAK1_17",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"820","Makatea_1","6",18,76,-15.8259,-148.2797,14.66,13.33,0,"6_TUAMAK1_18",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"821","Makatea_1","6",19,49.34,-15.8259,-148.2797,30.67,29.33,2.67,"6_TUAMAK1_19",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"822","Makatea_1","6",2,52,-15.8259,-148.2797,69.34,5.33,0,"6_TUAMAK1_2",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"823","Makatea_1","6",20,63.99,-15.8259,-148.2797,54.67,9.33,1.33,"6_TUAMAK1_20",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"824","Makatea_1","6",21,72,-15.8259,-148.2797,56,8,1.33,"6_TUAMAK1_21",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"825","Makatea_1","6",22,60,-15.8259,-148.2797,50.67,6.67,4,"6_TUAMAK1_22",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"826","Makatea_1","6",23,72,-15.8259,-148.2797,41.34,10.67,9.33,"6_TUAMAK1_23",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"827","Makatea_1","6",24,62.67,-15.8259,-148.2797,34.67,6.67,12,"6_TUAMAK1_24",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"828","Makatea_1","6",25,28,-15.8259,-148.2797,30.67,9.33,4,"6_TUAMAK1_25",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"829","Makatea_1","6",26,70.66,-15.8259,-148.2797,66.66,14.67,1.33,"6_TUAMAK1_26",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"830","Makatea_1","6",27,89.34,-15.8259,-148.2797,56,18.67,0,"6_TUAMAK1_27",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"831","Makatea_1","6",28,44,-15.8259,-148.2797,57.34,9.33,0,"6_TUAMAK1_28",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"832","Makatea_1","6",29,52,-15.8259,-148.2797,73.34,16,1.33,"6_TUAMAK1_29",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"833","Makatea_1","6",3,61.33,-15.8259,-148.2797,61.33,1.33,0,"6_TUAMAK1_3",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"834","Makatea_1","6",30,78.67,-15.8259,-148.2797,60,2.67,0,"6_TUAMAK1_30",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"835","Makatea_1","6",4,49.33,-15.8259,-148.2797,70.66,9.33,0,"6_TUAMAK1_4",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"836","Makatea_1","6",5,49.33,-15.8259,-148.2797,38.66,17.33,0,"6_TUAMAK1_5",228.942139,100,28.65303,0.596,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Corals and substrate","Fixed substrate","None",11,1,1.2,2,4.4
