"","Island_Island_Site","Depth","Quadrat","Cover","Latitude","Longitude","Fixed.substrate","Sediment.substrate","CCA","Rubble","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015","ID","Depth_num","TotPoints","Inc_points","Non_Inc_points","Per_Cover"
"38","Bora_1",20,16,38.67,-16.5031,-151.7907,77.33,0,4,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_16",20,75,29,46,0.3867
"39","Bora_1",20,17,49.33,-16.5031,-151.7907,56,0,0,13.33,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_17",20,75,37,38,0.4933
"40","Bora_1",20,18,33.34,-16.5031,-151.7907,61.33,4,4,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_18",20,75,25,50,0.3334
"41","Bora_1",20,19,47.99,-16.5031,-151.7907,89.33,0,1.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_19",20,75,36,39,0.4799
"42","Bora_1",20,2,51.99,-16.5031,-151.7907,90.67,0,1.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_2",20,75,39,36,0.5199
"43","Bora_1",20,20,50.66,-16.5031,-151.7907,76,0,5.33,4,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_20",20,75,38,37,0.5066
"44","Bora_1",20,21,56,-16.5031,-151.7907,70.67,0,0,2.67,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_21",20,75,42,33,0.56
"45","Bora_1",20,22,41.32,-16.5031,-151.7907,85.33,0,9.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_22",20,75,31,44,0.4132
"46","Bora_1",20,23,58.67,-16.5031,-151.7907,68,0,9.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_23",20,75,44,31,0.5867
"47","Bora_1",20,24,49.34,-16.5031,-151.7907,78.67,0,1.33,12,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_24",20,75,37,38,0.4934
"48","Bora_1",20,25,54.67,-16.5031,-151.7907,70.67,0,4,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_25",20,75,41,34,0.5467
"49","Bora_1",20,26,28,-16.5031,-151.7907,81.33,0,6.67,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_26",20,75,21,54,0.28
"50","Bora_1",20,27,35.99,-16.5031,-151.7907,82.67,0,9.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_27",20,75,27,48,0.3599
"51","Bora_1",20,28,25.33,-16.5031,-151.7907,81.33,0,13.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_28",20,75,19,56,0.2533
"52","Bora_1",20,29,44,-16.5031,-151.7907,84,0,5.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_29",20,75,33,42,0.44
"53","Bora_1",20,3,47.99,-16.5031,-151.7907,62.67,0,8,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_3",20,75,36,39,0.4799
"54","Bora_1",20,30,44,-16.5031,-151.7907,86.67,0,1.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_30",20,75,33,42,0.44
